   Log,     Log  ,    Log  , Remote, Op Type:,  AirCon,  AirCon,Compresr,Compresr,Compresr,Compresr,Compresr,Compresr,Compresr,    EEV,   EEV,    'C,    'C,    'C,    'C,    'C,    'C,    'C,  Thermal,  OU Fan,  OU Fan,  OU Fan,RemotFan,  IUFan,  IU Fan,4Way,ACIT Ver.,ACIT Ver.,Thm. Cut,Thm. Cut,Tc Protect,Te Protect,Td Protect,CurProtct,HeatSink,OutTemp,SuctProtc,VoltProtc,DewProt.,SleepLimt,  Defrost,TotalTime,     'C,Model,     'C,Voltage,Voltage, Current, Current,   Error,   Error,   Error,   Error
     No,    Date,   Time,Command,USB?Play,SubMode,MainMode,Op Mode,TargtStep,MaxStep,MinStep,FinalStep,FinalFreq, RealFreq, CycleM,  Pulse,  IU Air,RemotSet, IU Pipe,Discharge, OU Pipe,OU Air,   error,    Cut,TargtStep,TargtRpm,RealRpm, TargtStep,TargtStep,TargtFreq, Valve, Time,    Date,Slow Tmr,Fast Tmr,  MaxStep, MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,ActiveAlg,Heating,Target  Td, Name,HeatSink,  Input , DCLink,OU Input ,Compressor, OU PFC,OUGenerl,OU Comp,     IU
1,8.6.2015,16:54:20,Heating,Play Norm,CYCLE-,HEATING,Start 1.2,3,5,2,3,39,0,Start 1.6,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,10,780,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,66,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
2,8.6.2015,16:54:22,Heating,Play Norm,CYCLE-,HEATING,Start 1.2,3,5,2,3,39,0,Start 1.6,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,10,780,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,68,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
3,8.6.2015,16:54:24,Heating,Play Norm,CYCLE-,HEATING,Start 1.2,3,5,2,3,39,0,Start 1.6,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,10,780,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,70,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
4,8.6.2015,16:54:26,Heating,Play Norm,CYCLE-,HEATING,Start 1.2,3,5,2,3,39,0,Start 1.6,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,10,780,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,72,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
5,8.6.2015,16:54:28,Heating,Play Norm,CYCLE-,HEATING,Start 1.2,3,5,2,3,39,0,Start 1.6,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,10,780,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,74,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
6,8.6.2015,16:54:30,Heating,Play Norm,CYCLE-,HEATING,Start 1.2,3,5,2,3,39,0,Start 1.6,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,10,780,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,76,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
7,8.6.2015,16:54:32,Heating,Play Norm,CYCLE-,HEATING,Start 1.2,3,5,2,3,39,0,Start 1.6,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,10,780,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,78,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
8,8.6.2015,16:54:34,Heating,Play Norm,CYCLE-,HEATING,Start 1.2,3,5,2,3,39,0,Start 1.6,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,10,780,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,80,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
9,8.6.2015,16:54:36,Heating,Play Norm,CYCLE-,HEATING,Start 1.2,3,5,2,3,39,0,Start 1.6,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,10,780,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,82,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
10,8.6.2015,16:54:38,Heating,Play Norm,CYCLE-,HEATING,Start 1.2,3,5,2,3,39,0,Start 1.6,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,10,780,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,84,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
11,8.6.2015,16:54:40,Heating,Play Norm,CYCLE-,HEATING,Start 1.2,3,5,2,3,39,0,Start 1.6,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,10,780,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,86,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
12,8.6.2015,16:54:42,Heating,Play Norm,CYCLE-,HEATING,Start 1.2,3,5,2,3,39,0,Start 1.6,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,10,780,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,88,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
