   Log,     Log  ,    Log  , Remote, Op Type:,  AirCon,  AirCon,Compresr,Compresr,Compresr,Compresr,Compresr,Compresr,Compresr,    EEV,   EEV,    'C,    'C,    'C,    'C,    'C,    'C,    'C,  Thermal,  OU Fan,  OU Fan,  OU Fan,RemotFan,  IUFan,  IU Fan,4Way,ACIT Ver.,ACIT Ver.,Thm. Cut,Thm. Cut,Tc Protect,Te Protect,Td Protect,CurProtct,HeatSink,OutTemp,SuctProtc,VoltProtc,DewProt.,SleepLimt,  Defrost,TotalTime,     'C,Model,     'C,Voltage,Voltage, Current, Current,   Error,   Error,   Error,   Error
     No,    Date,   Time,Command,USB?Play,SubMode,MainMode,Op Mode,TargtStep,MaxStep,MinStep,FinalStep,FinalFreq, RealFreq, CycleM,  Pulse,  IU Air,RemotSet, IU Pipe,Discharge, OU Pipe,OU Air,   error,    Cut,TargtStep,TargtRpm,RealRpm, TargtStep,TargtStep,TargtFreq, Valve, Time,    Date,Slow Tmr,Fast Tmr,  MaxStep, MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,ActiveAlg,Heating,Target  Td, Name,HeatSink,  Input , DCLink,OU Input ,Compressor, OU PFC,OUGenerl,OU Comp,     IU
1,26.6.2015,11:40:05,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 23.5, 20.0, 16.6, 78.6, 29.1, 25.1, 4.0,OFF,10,780,0,5,5,1475,COOLING,14:51:07,Jun  8 2015,177,7,12,12,12,12,12,10,12,12,12,12,  ,0,51,SB Reference  , 45.0,230,0,12,0,0,0,0,0
2,26.6.2015,11:40:07,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 23.5, 20.0, 16.6, 78.6, 29.1, 25.1, 4.0,OFF,10,780,0,5,5,1475,COOLING,14:51:07,Jun  8 2015,180,10,12,12,12,12,12,10,12,12,12,12,  ,0,51,SB Reference  , 45.0,230,0,12,0,0,0,0,0
3,26.6.2015,11:40:09,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 23.5, 20.0, 16.6, 78.6, 29.1, 25.1, 4.0,OFF,10,780,0,5,5,1475,COOLING,14:51:07,Jun  8 2015,179,9,12,12,12,12,12,10,12,12,12,12,  ,0,51,SB Reference  , 45.0,230,0,12,0,0,0,0,0
4,26.6.2015,11:40:11,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 23.5, 20.0, 16.6, 78.6, 29.1, 25.1, 4.0,OFF,10,780,0,5,5,1475,COOLING,14:51:07,Jun  8 2015,179,9,12,12,12,12,12,10,12,12,12,12,  ,0,51,SB Reference  , 45.0,230,0,12,0,0,0,0,0
5,26.6.2015,11:40:13,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 23.5, 20.0, 16.6, 78.6, 29.1, 25.1, 4.0,OFF,10,780,0,5,5,1475,COOLING,14:51:07,Jun  8 2015,176,6,12,12,12,12,12,10,12,12,12,12,  ,0,51,SB Reference  , 45.0,230,0,12,0,0,0,0,0
6,26.6.2015,11:40:15,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 23.5, 20.0, 16.6, 78.6, 29.1, 25.1, 4.0,OFF,10,780,0,5,5,1475,COOLING,14:51:07,Jun  8 2015,176,6,12,12,12,12,12,10,12,12,12,12,  ,0,51,SB Reference  , 45.0,230,0,12,0,0,0,0,0
7,26.6.2015,11:40:17,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 23.5, 20.0, 16.6, 78.6, 29.1, 25.1, 4.0,OFF,10,780,0,5,5,1475,COOLING,14:51:07,Jun  8 2015,179,9,12,12,12,12,12,10,12,12,12,12,  ,0,51,SB Reference  , 45.0,230,0,12,0,0,0,0,0
8,26.6.2015,11:40:19,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 23.5, 20.0, 16.6, 78.6, 29.1, 25.1, 4.0,OFF,10,780,0,5,5,1475,COOLING,14:51:07,Jun  8 2015,178,8,12,12,12,12,12,10,12,12,12,12,  ,0,51,SB Reference  , 45.0,230,0,12,0,0,0,0,0
9,26.6.2015,11:40:21,Cooling,Play x100,CYCLE-,COOLING,RegularPI    ,12,10,2,10,72,0,Regular PI  ,400, 23.5, 20.0, 16.6, 78.6, 29.1, 25.1, 4.0,OFF,10,780,0,5,5,1475,COOLING,14:51:07,Jun  8 2015,178,8,12,12,12,12,12,10,12,12,12,12,  ,0,51,SB Reference  , 45.0,230,0,12,0,0,0,0,0
